TCGA-06-0675-11A-32R-A36H-07	TCGA-06-0678-11A-32R-A36H-07	TCGA-06-AABW-11A-31R-A36H-07	TCGA-06-0680-11A-32R-A36H-07	TCGA-06-0681-11A-41R-A36H-07
C22orf29	2474	2472	1122	2760	2132
C22orf36	455	353	350	412	383
C22orf41	4	4	0	1	1
C22orf43	0	2	0	0	1
C2CD2L	5661	3207	2440	4992	4742
C2CD4B	12	196	11	14	101
C2CD4C	2751	3156	678	2543	2366
C2CD4D	19	21	132	22	26
C2orf15	88	44	92	73	68
C2orf27A	48	54	62	44	48
C2orf28	1226	968	2314	1075	1227
C2orf48	0	0	0	0	2
C2orf55	6233	4960	1035	5504	5098
C2orf58	30	9	1	22	43
C2orf62	1	0	4	1	0
C2orf63	290	243	316	321	260
C2orf66	1	10	1	5	3
C2orf68	512	600	2203	570	670
C2orf73	8	4	6	6	10
C2orf76	86	103	233	76	75
C2orf77	180	258	117	141	220
C2orf80	1669	1370	411	1643	1749
C2orf81	201	131	243	188	185
C2orf83	0	0	0	0	0
C2orf88	327	448	2177	401	510
C2orf89	493	366	24	664	462
C2	737	329	455	216	351
C3AR1	697	497	621	358	727
C3orf14	1386	1330	781	1391	1290
C3orf16	0	0	0	1	1
C3orf45	6	34	310	10	31
C3orf50	1	0	1	3	3
C3orf67	56	106	14	57	33
C3orf72	14	16	17	21	18
C3	14147	7715	12980	7684	9067
C4A	10365	6813	19033	7529	5100
C4orf19	87	139	110	116	117
C4orf21	70	94	296	133	140
C4orf32	178	204	830	137	284
C4orf36	9	5	4	12	4
C4orf44	143	200	43	117	167
C4orf47	1	1	20	1	5
C4orf49	31	28	51	36	39
C4orf6	0	0	0	0	0
C5AR1	185	327	99	88	351
C5orf25	814	935	341	834	777
C5orf30	3398	2058	4372	3313	3483
C5orf38	1	1	0	0	0
C5orf39	5	19	118	9	28
C5orf40	1364	3987	525	1511	1250
C5orf62	615	526	296	423	342
C6orf105	89	104	58	74	70
C6orf118	3	4	6	6	10
C6orf124	16	9	48	27	22
C6orf129	195	239	527	232	250
C6orf138	27	29	16	36	17
C6orf142	870	456	176	882	779
C6orf145	554	1033	995	466	561
C6orf146	1	0	0	1	1
C6orf150	25	24	33	11	22
C6orf154	1227	991	333	1117	1182
C6orf155	33	36	17	39	16
C6orf15	0	0	0	0	0
C6orf163	5	6	3	3	0
C6orf168	4058	2678	927	4127	3565
C6orf176	26	43	9	49	52
C6orf217	16	18	31	21	13
C6orf218	0	0	0	0	0
C6orf222	8	13	4	3	2
C6orf227	4	0	0	6	2
C6orf25	0	0	0	0	0
C6orf27	1019	928	88	1001	601
C6orf41	1	2	20	1	10
C6orf48	1949	2004	4350	1874	2464
C6orf52	15	2	77	22	21
C6orf58	0	0	0	0	0
C6orf81	9	15	42	11	23
C6orf94	0	0	0	0	0
C6orf97	84	64	12	83	58
C7orf10	31	24	31	27	30
C7orf16	46	357	83	94	88
C7orf23	365	202	212	275	302
C7orf27	1643	1277	2086	1777	1804
C7orf31	61	36	130	58	78
C7orf34	0	0	11	0	0
C7orf36	373	306	480	347	381
C7orf41	46902	55564	107128	50530	58376
C7orf47	187	259	297	196	261
C7orf49	423	459	1499	434	470
C7orf51	4966	4226	1564	4819	4325
C7orf55	414	392	1226	428	599
C7orf57	1	4	0	5	0
C7orf58	99	72	113	124	145
C7orf61	22	40	152	18	36
C7orf71	0	0	0	0	0
C8orf12	5	0	21	1	2
C8orf31	33	11	39	23	15
C8orf33	2665	2521	2660	3073	2422
C8orf37	180	116	216	191	166
C8orf45	94	105	128	99	126
C8orf48	27	28	36	17	24
C8orf4	137	416	1150	128	841
C8orf58	220	179	216	247	236
C8orf73	38	23	58	53	45
C8orf77	6	8	34	10	9
C8orf85	40	39	49	47	39
C9orf100	20	12	51	16	17
C9orf117	7	5	8	5	7
C9orf125	3078	2653	1538	3300	2195
C9orf140	1296	1397	1484	1024	720
C9orf152	0	1	0	0	0
C9orf153	0	0	6	0	0
C9orf163	13	17	9	16	9
C9orf167	139	210	149	80	149
C9orf169	14	9	32	26	16
C9orf171	0	0	0	1	0
C9orf172	1145	807	455	1191	1102
C9orf21	123	139	213	99	152
C9orf44	0	0	2	1	0
